canonical_key,match_value,display_term,enriched_description,category,potential
sukiyaki,sukiyaki,Sukiyaki,"Japanese hot pot with thinly sliced beef, commonly served in HK 放題 restaurants",fnb,high
omakase,omakase,Omakase,"Japanese chef's choice tasting menu dining format, popular in HK high-end sushi restaurants",fnb,high
leng-mian,冷麵,冷麵,"Cold noodles, a refreshing Chinese/Korean noodle dish served chilled with various sauces",fnb,high
coffee-shop,旺角cafe,Cafe,"Generic coffee shop and cafe concept in HK, ranging from 茶餐廳-style to specialty cafes",fnb,low
waffles-hk,窩夫,窩夫,"Hong Kong-style waffles, including egg waffles (雞蛋仔) and griddled waffles (格仔餅)",fnb,high
seaweed-rice-roll,紫菜卷飯,紫菜卷飯,"Korean-style seaweed rice rolls (kimbap/gimbap), popular HK street food and lunch item",fnb,high
coffee-shop,cafe,Cafe,"Generic coffee shop and cafe concept in HK, ranging from 茶餐廳-style to specialty cafes",fnb,low
ypasta,ypasta,ypasta,"Generic pasta dish concept, common in HK Western and fusion restaurants",fnb,high
slow-cook-wagyu,慢煮和牛,慢煮和牛,"Slow-cooked wagyu beef, a premium Japanese beef preparation method trending in HK fine dining",fnb,high
donburi,donburi,Donburi,"Japanese rice bowl dish topped with meat, seafood, or vegetables, widely available in HK",fnb,high
knutsford-terrace,諾士佛臺,諾士佛臺,Popular dining and nightlife street in Tsim Sha Tsui known for its concentration of bars and restaurants,location,high
hotpot,打邊爐,火鍋,"Hot pot dining format where diners cook raw ingredients in simmering broth at the table, a HK staple",fnb,high
family-friendly-restaurant,親子餐廳,親子餐廳,"Restaurants catering to families with children, often featuring kids' menus and play areas",fnb,low
apple-marinated-pork,蘋果醃豬肉,蘋果醃豬肉,"Pork marinated with apple, a fusion cooking technique appearing in HK contemporary cuisine",fnb,high
slow-cook-wagyu,和牛,慢煮和牛,"Slow-cooked wagyu beef, a premium Japanese beef preparation method trending in HK fine dining",fnb,high
sukiyaki,壽喜燒,Sukiyaki,"Japanese hot pot with thinly sliced beef, commonly served in HK 放題 restaurants",fnb,high
cantonese-restaurant,粵 式 酒 樓,粵式酒樓,"Traditional Cantonese banquet-style restaurant (酒樓), serving dim sum and elaborate dinner courses",fnb,low
tsujiri,辻利茶鋪,辻利茶鋪,"Japanese matcha specialty chain known for green tea desserts, soft serve, and beverages in HK",poi,medium
